Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Parking,Restroom,Change table,Stroller trail,Playground,Enclosed playground,"Material of playground floor (rubber, grass, dirt, sand, concrete, wood chip/mulch, asphalt) ",Water play,Sand pit,Toddler Playground,Pre-schooler Playground (2-5) ,School aged Playground (5-12),Picnic table,BBQ,Snugabug Pick,Photos
Stafford Park,King St at Hopkins Ave,Redwood City,CA,94062,650 780 7250,,,,,N,Y,Y,,Y,Y,mulch,Y,N,Y,Y,Y,Y,Y,,Y
Starlite Park,450 Rudyard Dr,Milpitas,CA,95035,,,,,,N,Y,,,Y,,,,,,,,Y,Y,,
Transamerica Redwood Park,537 Mark Twain St,San Francisco,CA,94111,,,,,,,,,,,,,,,,,,,,,
Memorial Park,1105 Bancroft Ave,San Leandro,CA,94577,510 577 3462,https://sanleandro.org/depts/rec/parks/memorial.asp,"Originally dedicated in 1938, this is one of the City's oldest parks. It is located at the intersection of Bancroft and Callan avenues, across from Bancroft Middle School. San Leandro Creek runs along the north side of the park. The park features extensive sitting areas and picnic facilities and two separate play areas. There are five barbecue pits, 10 picnic tables and restroom facilities.",,,Y,Y,,Y,Y,Y,mulch,N,N,Y,Y,Y,Y,Y,,Y
Three Oaks Park,Candlelight Way & Shadowhill Ln,Cupertino,CA,95014,408 777 3120,,,,,Y,N,,N,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,
Stevenson Park,750 San Pierre Way,Mountain View,CA,94043,650 903 6326,,,,,,,,,,,,,,,,,,,,Y
Ryland Park,Fox Ave. & N San Pedro St.,San Jose,CA,95110,,,,,,Y,Y,,,Y,Y,"rubber, mulch",N,N,Y,Y,Y,Y,N,,
Stulsaft Park,3700 Farm Hill Blvd,Redwood City,CA,94061,,,,,,N,Y,,,Y,,"mulch, rubber",Y,Y,Y,Y,Y,Y,,,Y
Ryder Park,1801 J Hart Clinton Dr,San Mateo,CA,94401,,,,,,Y,Y,,,Y,N,rubber,Y,Y,Y,Y,Y,Y,Y,,
May Nissen Park,685 Rincon Ave,Livermore,CA,94551,,,,,,Y,Y,,,Y,N,sand,Y,Y,Y,Y,Y,Y,N,,
Trinity Plaza,333 Bush St,San Francisco,CA,94104,,,,,,,,,,,,,,,,,,,,,
Northgate Community Park,Paseo Padre Pkwy & Milton St.,Fremont,CA,94555,,,,,,Y,Y,,,Y,N,sand,N,Y,Y,Y,Y,Y,N,,
Mt. Eden Park,2451 W Tennyson,Hayward,CA,94545,,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,
Mocho Park        ,Mocho St. & Holmes St.,Livermore,CA,94550,,,,,,N,N,,Y,Y,N,mulch,N,N,N,Y,Y,Y,Y,,
Westlake Park Community Center ,145 Lake Merced Blvd,Daly City,CA,94015,650 991 8021,,,,,,,,,,,,,,,,,,,,
Todos Santos Plaza,2151 Salvio St,Concord,CA,94520,,,,,,N,N,,,Y,N,sand,N,N,Y,Y,N,Y,N,,
Twin Pines Park,1 Twin Pines Ln,Belmont,CA,94002,650 595 7441,http://www.belmont.gov/Home/Components/FacilityDirectory/FacilityDirectory/208/702,,,,Y,Y,,,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,,Y
Union Landing Park,3300 Regents Blvd,Union City,CA,94587,,,,,,,,,,,,,,,,,,,,,
Val Vista Community Park,6701 Payne Drive,Pleasanton,CA,94588,,http://ptownlife.org/play/parks/val-vista-community-park,,,,Y,Y,,Y,Y,N,mulch,Y,N,Y,Y,Y,Y,Y,Y,Y
Vasona Lake County Park,333 Blossom Hill Rd,Los Gatos,CA,95032,408 356 2729,,,,,,,,,,,,,,,,,,,,
Upper Noe Recreation Center,295 Day St,San Francisco,CA,94131,415 970 8061,http://www.sfparksalliance.org/our-parks/parks/upper-noe-rec-center,"This park has just been renovated and completed in June 2008. Upper Noe offers the neighborhood a brand new playground with a sand pit, an indoor gym, a baseball diamond and multipurpose field, basketball and tennis courts, and a recreation center with restrooms.",,,,,,,,,,,,,,,,,,Y
Saratoga Creek Park,Hoyet and Cordelia,San Jose,CA,95129,,,,,,Y,Y,,,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,,
Village Green Park,Village Pkwy & Triana Way,San Ramon,CA,94583,,,,,,Y,Y,,Y,Y,N,mulch,N,Y,N,Y,Y,Y,N,,
Walnut Park,Petaluma Blvd & D St,Petaluma,CA,94952,,,,,,,,,,,,,,,,,,,,,
War Memorial Playground,295 Monroe St.,Santa Clara,CA,95050,,,,,,,,,,,,,,,,,,,,,Y
Washington City Park,840 W Washington St,Sunnyvale,CA,94086,408 730 7751,,,,,,,,,,,,,,,,,,,,
Northfront Park,Almaden Way,Livermore,CA,94551,,,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Saratoga Square,Yates Way & David St.,San Mateo,CA,94403,,,,,,N,Y,N,,Y,N,mulch,N,N,N,Y,N,Y,N,,Y
Victoria Manalo Draves Park,Folsom St and Sherman St,San Francisco,CA,94103,,http://www.sfparksalliance.org/our-parks/parks/victoria-manalo-draves-park,"Victoria Manalo Draves Park, a two acre park in SOMA, opened in October, 2006. It is located on Folsom Street between 6th and 7th streets. The park features a ball field, basketball court, bathrooms, a childrens' play area featuring a teepee-style jungle gym and a slide, a community garden, a landscaped area, picnic area, and play field.",,,N,Y,,,Y,Y,rubber,N,N,Y,Y,Y,Y,N,,Y
Northgate Park,Milton St &  Rowland Dr,Fremont,CA,94555,,,,,,,,,,,,,,,,,,,,,
Whisman Park,400 Easy St,Mountain View,CA,94043,,,,,,,,,,,,,,,,,,,,,Y
William D Wood Park,McKillop Rd,Oakland,CA,94602,,,,,,,,,,,,,,,,,,,,,
Selma Olinder Park,Woodborough Dr. & Woodborough Ct.,San Jose,CA,95116,,,,,,N,Y,,Y,Y,N,rubber,N,N,N,Y,Y,Y,N,,
Walter Haas Playground,Addison St. & Farnuum St.,San Francisco,CA,94131,,http://www.sfparksalliance.org/our-parks/parks/walter-haas-playground,"Walter Haas Park and Playground was renovated in 2005 and became a spectacular neighborhood park that people of all ages may enjoy. This park has a little something for everyone: a basketball court, large grass area, dog park, and a two tier playground: one for toddlers and one for older children.",,,N,N,,Y,Y,Y,rubber,N,Y,Y,Y,Y,Y,N,,Y
Wilson Park,10298 S Portal Ave,Cupertino,CA,95014,408 777 3200,,,,,Y,Y,,,Y,Y,mulch,N,Y,Y,Y,Y,Y,Y,,Y
Washington & Hyde Mini Park,Union and Columbus,San Francisco,CA,94133,,http://www.sfparksalliance.org/our-parks/parks/washington-hyde-mini-park,This downtown park is a great escape from the fast-paced atmosphere of the city. It has beautiful landscaping and a children's playground at the end of the park. There are restrooms available too.,,,,,,,,,,,,,,,,,,Y
Ygnacio Valley Park,901 Oak Grove Rd,Concord,CA,94518,,,,,,Y,Y,,,Y,N,mulch,N,Y,Y,Y,N,Y,N,,
Livorna Park,Livorna Park,Alamo,CA,94507,,http://www.co.contra-costa.ca.us/DocumentCenter/Home/View/3784,,,,Y,Y,,,Y,N,Sand,N,Y,N,N,Y,Y,Y,,
Memorial Park,1325 Portland Ave,Albany,CA,94706,,,,,,N,Y,,,Y,Y,"mulch, rubber, sand",N,Y,N,Y,Y,Y,Y,,
Leydecker Park,3181 Mecartney Rd,Alameda,CA,94502,510 521 1266,http://alamedaca.gov/recreation/leydecker-park,,,,Y,Y,,,Y,N,mulch,N,Y,N,Y,Y,N,N,,Y
Lincoln Park,1450 High St,Alameda,CA,94501,510 523 6222,http://alamedaca.gov/recreation/lincoln-parkharrison-center,,,,Y,Y,,,Y,N,mulch,N,N,N,Y,Y,Y,Y,,Y
Longfellow Park,520 Lincoln Avenue,Alameda,CA,94501,,,,,,N,Y,,,Y,Y,"mulch, sand",N,Y,Y,Y,N,N,N,,
McKinley Park,2165 Buena Vista Avenue,Alameda,CA,94501,,,,,,Y,Y,,,Y,N,dirt,N,Y,Y,Y,Y,N,N,,
Tillman Park,Robert Davey Jr Dr & Aughinbaugh Way,Alameda,CA,94502,,http://alamedaca.gov/recreation/tillman-park,,,,N,Y,,,Y,N,sand,N,Y,Y,Y,Y,N,N,,Y
Washington Park,740 Central Ave,Alameda,CA,94501,510 521 162,http://alamedaca.gov/recreation/washington-park,,,,Y,Y,,,Y,N,Mulch,N,Y,Y,Y,Y,Y,N,,Y
Avila Beach Park,50 San Juan Street,Avila Beach,CA,93424,,,,,,N,Y,,,Y,N,Sand,N,Y,Y,Y,N,,,,
Shorebird Park,162 University Ave,Berkeley,CA,94710,510 981 6720,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Shorebird_Park.aspx,,,,Y,Y,,,Y,N,Sand,N,N,N,Y,Y,Y,Y,,Y
Strawberry Creek Park,1260 Allston Way,Berkeley,CA,94702,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Strawberry_Creek_Park.aspx,,,,N,N,,,Y,N,sand,N,Y,Y,Y,N,Y,Y,,Y
Totland Playground,1644 Virginia Street,Berkeley,CA,94703,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Virginia-McGee_Totland.aspx,,,,N,Y,,,Y,Y,sand,Y,Y,Y,Y,N,Y,N,,Y
Willard Park,2720 Hillegass Ave,Berkeley,CA,94705,510 644 8517,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Willard_Park.aspx,,,,N,Y,,,Y,N,"sand, rubber",N,Y,Y,Y,N,Y,N,,Y
Arbor View Park,817 Atherton Boulevard,Brentwood,CA,94513,,,,,,Y,N,,,Y,N,"mulch, astroturf ",N,Y,Y,Y,N,Y,N,,
Blue Goose Park,1765 Adams Lane,Brentwood,CA,94513,,,,,,Y,Y,,,Y,N,mulch,Y,N,Y,Y,N,Y,Y,,
King Park,1379 Bauer Way,Brentwood,CA,94513,,,,,,N,N,,,Y,N,mulch,N,N,Y,Y,N,Y,Y,,
Orchard Park,40 Griffith Lane,Brentwood,CA,94513,,,,,,N,N,,,Y,N,mulch,N,N,Y,Y,N,N,N,,
Stojanovich Family Park,316 Union Ave,Campbell,CA,95008,,,,,,,,,,,,,,,,,,,,,
Rengstorff Park,201 S Rengstorff Ave,Mountain View,CA,94040,,,,,,Y,Y,,Y,Y,Y,"mulch, sand, rubber",N,Y,Y,Y,Y,Y,Y,Y,Y
Cannon Park,Carlsbad Blvd. and Cannon Rd.,Carlsbad,CA,92008,,,,,,N,Y,,,Y,N,"sand, rubber",N,Y,Y,Y,N,N,N,,
Hosp Grove Park,Jeffersons St. and Marron Rd.,Carlsbad,CA,92008,,,,,,Y,Y,,,Y,N,"sand, rubber",N,Y,Y,Y,N,Y,N,,
Poinsettia Community Park,6600 Hidden Valley Rd.,Carlsbad,CA,92011,,,,,,Y,Y,,,Y,N,"sand, rubber",N,Y,Y,Y,N,Y,N,,
A.B. Morris (Adobe) Park,20395 San Miguel Ave.,Castro Valley,CA,94546,,,,,,Y,Y,,,Y,N,"mulch, sand",N,Y,N,Y,Y,Y,N,,
Carlos Bee Park,1905 Grove Way,Castro Valley,CA,94546,,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,N,Y,N,,
Deerview Park,5780 Thousand Oaks Dr,Castro Valley,CA,94552,,,,,,N,N,,,Y,N,mulch,N,N,N,Y,N,Y,N,,
Earl Warren Park,4660 Crow Canyon Rd,Castro Valley,CA,94552,,,,,,N,Y,,,Y,N,sand,N,Y,N,Y,Y,Y,N,,
Five Canyons Park,25847 Five Canyons Pkwy,Castro Valley,CA,94552,,,,,,Y,Y,,,Y,N,mulch,N,N,N,Y,Y,,N,,
Greenridge Park,6132 Greenridge Rd,Castro Valley,CA,94552,,,,,,Y,Y,,,Y,N,mulch,N,N,N,Y,Y,Y,Y,,
Palomares Park,7200 Villareal Dr,Castro Valley,CA,94552,,,,,,N,Y,,,Y,N,mulch,N,N,Y,Y,N,N,N,,
Parsons Park,Walnut Rd & School Way,Castro Valley,CA,94552,,,,,,N,N,,,Y,N,mulch,N,N,N,Y,Y,Y,N,,
Community Park,6000 Heritage Trail,Clayton,CA,94517,,,,,,Y,Y,,,Y,Y,rubber,N,N,Y,Y,N,Y,N,,
The Grove,6100 Main St.,Clayton,CA,94517,,,,,,N,Y,,,Y,N,rubber,Y,N,Y,Y,Y,Y,N,,
Baldwin Park,2790 Parkside Cir,Concord,CA,94519,,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,N,N,N,,
Concord Community Park,3501 Cowell Rd,Concord,CA,94518,,,,,,Y,Y,,,Y,N,mulch,N,N,N,Y,Y,N,N,,
Ellis Lake Park,1760 Clayton Rd,Concord,CA,94520,,,,,,Y,N,,,Y,N,mulch,N,N,Y,Y,N,N,N,,
Corte Madera Town Park,498 Tamalpais Dr,Corte Madera,CA,94925,,,,,,Y,Y,,,Y,Y,"mulch, sand",N,Y,Y,Y,Y,,,,
Rainbow City Playground (Community Park),1405 F St.,Davis,CA,95616,,,,,,Y,Y,,Y,Y,Y,"mulch, sand",Y,Y,Y,Y,Y,,,,
Slide Hill Park,1526 Tulip Ln.,Davis,CA,95618,,,,,,Y,Y,,,Y,N,"mulch, sand",N,Y,Y,Y,Y,,,,
Sycamore Park,1313 Sycamore Lane,Davis,CA,95616,,,,,,N,Y,,Y,Y,N,mulch,N,Y,Y,Y,Y,,,,
Sunnybrae Park,818 Sunnybrae Blvd,San Mateo,CA,94402,,,,,,N,N,,,Y,Y,mulch,N,N,Y,Y,Y,Y,N,,
Shannon Park,11600 Shannon Avenue,Dublin,CA,94568,,http://www.dublin.ca.gov/index.aspx?NID=336,,,,Y,Y,,,Y,N,mulch,Y,Y,Y,Y,Y,Y,N,,Y
Ted Fairfield Park,3400 Antone Way,Dublin,CA,94568,,http://www.dublin.ca.gov/Facilities/Facility/Details/11,,,,N,Y,,Y,Y,N,mulch,N,N,Y,Y,,Y,Y,,Y
Arlington Park,1120 arlington blvd,El Cerrito,CA,94530,,,,,,N,N,,,Y,N,rubber,N,Y,N,Y,Y,Y,N,,
Cerrito Vista Park,7007 Moeser Ln,El Cerrito,CA,94530,,,,,,N,Y,,,Y,N,rubber,N,N,N,Y,Y,,,,
Doyle Hollis Park,1333 62nd St.,Emeryville,CA,94608,,,,,,N,Y,,,Y,Y,rubber,N,N,N,Y,Y,N,N,,
Stanford Avenue Park,Stanford Ave. & Beaudry St.,Emeryville,CA,94608,,,,,,N,N,,,Y,N,rubber,N,Y,Y,Y,N,N,N,,
Cottonwood Creek Park,95 N Vulcan Ave,Encinitas,CA,92024,,,,,,Y,Y,,,Y,N,"rubber, sand",N,Y,Y,Y,Y,N,N,,
Encinitas Viewpoint Park,E D st. & Corish Dr,Encinitas,CA,92024,,,,,,N,N,,,Y,N,"rubber, sand",N,Y,Y,Y,N,N,N,,
Old Mission Park,1000 Pine St at Ibero,Fremont,CA,94539,,,,,,,,,,,,,,,,,,,,,
Patterson Park,35475 Cabrillo Dr,Fremont,CA,94536,,,,,,,,,,,,,,,,,,,,,
Quarry Lakes,2100 Isherwood Way,Fremont,CA,94536,888 327 2757,,,,,,,,,,,,,,,,,,,,
Rix Park,42679 Everglades Park Dr,Fremont,CA,94538,,,,,,,,,,,,,,,,,,,,,
Sylvester Harvey Park,3850 Grand Lake Dr,Fremont,CA,94555,,,,,,,,,,,,,,,,,,,,,
Warm Springs Park,47300 Fernald St,Fremont,CA,94539,510 791 4318,,,,,,,,,,,,,,,,,,,,
Westridge Park,36131 Fremont Blvd,Fremont,CA,94536,,,,,,,,,,,,,,,,,,,,,
Hal Brown Park at Creekside,Bon Air Rd,Greenbrae,CA,94904,,,,,,N,Y,,,Y,N,"rubber, sand",Y,Y,N,N,Y,Y,N,,
Mary Laveroni Community Park,Mary Laveroni Community Park,Groveland,CA,95321,,,,,,Y,,,,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Vista Park,1030 Vista Rd,Hillsborough,CA,94010,,,,,,N,N,,,Y,N,rubber,N,N,Y,Y,N,Y,N,,
Old Highlands Park,26180 Parkside Dr,Hayward,CA,94542,,,,,,Y,N,,,Y,N,mulch,N,N,N,Y,Y,N,N,,
San Felipe Park,2058 D St.,Hayward,CA,94541,510 881 6700,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,Y,,,,
Silver Star Veteran's Park,695 Industrial Pkwy,Hayward,CA,94544,,,,,,N,N,,,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,
Southgate Park,26780 Chiplay,Hayward,CA,94545,,,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,Y,N,N,,
Brook Street Park,3562 Brook St,Lafayette,CA,94549,,http://www.lovelafayette.org/city-hall/city-departments/parks-trails-recreation/parks/brook-street-park,"Tucked into a residential, downtown neighborhood, this small park represents Lafayette’s first neighborhood park. It’s a popular spot for picnic lunches and draws families with young children due to its whimsical Pirate Ship that captures the imaginations of young children with a top deck, steering wheel, climbing ropes and port holes. The play equipment area has a low perimeter fence that keeps the children safely enclosed. In the back, beneath a shade structure, is a children’s picnic table and side serving table that can accommodate small parties. There are no restroom facilities and use of the facilities is on a first-come, first-served basis.",,,N,N,,,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Lafayette Community Park,480 St Marys Rd,Lafayette,CA,94549,,http://www.lovelafayette.org/city-hall/city-departments/parks-trails-recreation/parks/community-park,"The 68-acre site of Lafayette Community Park contains a diverse array of topography, wildlife and recreation opportunities. The south-end has two sports fields that are used for baseball in the Spring and soccer in the Fall. There is a group picnic area that can be reserved and several single picnic tables. A Tot Playground with an adjoining lawn is near the picnic area and fields. A footbridge leads people from the parking lot, located at 480 Saint Mary’s Road, to the fields, picnic area and public restrooms.",,,Y,Y,,Y,Y,Y,rubber,N,N,Y,Y,Y,Y,,,
Ravenswood Park,Tahoe Dr. & Klamath Ct.,Livermore,CA,94550,,,,,,Y,N,,N,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,
Robertson Park,3200 Robertson Park Road,Livermore,CA,94550,925 960 2440,,"This park offers barbecue pits, picnic tables, rentable equestrian facilities, hiking/biking/horseback riding trails, restrooms, horseshoe pits and a rentable dog area. ",N,Playgrounds,Y,Y,,Y,,N,"Rubber, Wood chip/Mulch",N,Y,Y,Y,Y,Y,Y,,
Summit Park,Carson Pass Way & Fallen Leaf Dr,Livermore,CA,94551,,,,,,N,N,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,
Sunset Park,1055 Geneva St,Livermore,CA,94550,,,,N,,N,N,,,Y,N,,N,N,Y,Y,Y,Y,N,,
Tex Spruiell Park,5411 Felicia Ave,Livermore,CA,94550,,,,,,N,N,,Y,Y,N,mulch,N,Y,Y,Y,N,Y,N,,
Vista Meadows Neighborhood Park,2450 Westminster Way,Livermore,CA,94550,925 373 5700,,,,,N,N,,Y,Y,Y,mulch,Y,Y,Y,Y,Y,Y,N,,
Wattenberger Park,1515 Honeysuckle Rd.,Livermore,CA,94551,,,,,,N,N,,,Y,N,mulch,N,Y,N,Y,Y,Y,Y,,
Live Oak Manor Park,210 Carlton Ave,Los Gatos,CA,95032,,http://www.losgatosca.gov/906/Live-Oak-Manor-Park,"Live Oak Manor Park is located off Gateway Drive, between Carlton Avenue and Lester Lane.
 
A quiet neighborhood park with a playground, basketball court, picnic tables and large lawn areas.",,,N,N,,Y,Y,N,mulch,N,N,N,N,Y,Y,N,,Y
Hidden Valley Park,Center Ave. & Redwood Dr.,Martinez,CA,94553,,http://www.cityofmartinez.org/depts/recreation/parks/hidden_valley.asp,"(16 Acres) Center Avenue at Redwood Drive. Two lighted tennis courts, picnic areas, playground area, two ballfields, restrooms, bicycle/jogging paths,1-mile exercise course and a 2-mile pathway leading up to Hidden Lakes Park. ",,,Y,Y,,Y,Y,N,"rubber, mulch",N,N,Y,Y,Y,Y,N,,Y
Holiday Highlands Park,Fig Tree Ln. & Eastwoodbury Ln.,Martinez,CA,94553,,http://www.cityofmartinez.org/depts/recreation/parks/holiday.asp,"(2 Acres) Fig Tree Lane and Eastwoodbury. Neighborhood picnic area, playground area, multi-use field, bike racks and lighted pathways. All picnic areas are on a first come first serve basis. Click above for a map to this park.",,,N,N,,,Y,N,mulch,N,N,N,Y,Y,Y,N,,Y
John Muir National Historic Site,4202 Alhambra Ave,Martinez,CA,94553,925 228 8860,http://www.cityofmartinez.org/depts/recreation/parks/john_muir.asp,"(1.5 Acres) Vista Way and Pine Street. Adjacent to John Muir School, playground and multi-use field.",,,,,,,,,,,,,,,,,,Y
Waterfront Park,Martinez Waterfront Park,Martinez,CA,94553,,http://www.cityofmartinez.org/depts/recreation/parks/waterfront.asp,"(150 Acres) North Court Street via Ferry Street. Four ballfield complex with concessions and restroom, soccer field, picnic areas, playground areas, horse- shoe pits and bocce ball courts, restroom, the Marina and fishing pier. Twelve- hundred seat amphitheater and skateboard park. Contact Recreation Services to reserve a picnic area (925)372-3510.",,,Y,Y,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,Y
Nancy Boyd Park       ,Nancy Boyd Park,Martinez,CA,94553,,http://www.cityofmartinez.org/depts/recreation/parks/nancy.asp,"8.5 Acres, Pleasant Hill Road East and Church Street. Ballfield, basketball court, three lighted tennis courts, playground area, picnic areas and restrooms. Contact Recreation Services at (925) 372-3510 to reserve a picnic area.",,,Y,Y,,Y,Y,N,mulch,N,N,N,Y,Y,N,N,,Y
Rankin Park,Glen Dr.,Martinez,CA,94553,,http://www.cityofmartinez.org/depts/recreation/parks/rankin.asp,"(41 Acres) West end of Buckley Street. Swimming and diving complex, picnic areas,
horseshoe pits, lighted softball field, restroom, playground area and gazebo.",,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,Y
Boyle Park,East Dr. & Sidney St.,Mill Valley,CA,94941,,http://www.cityofmillvalley.org/Index.aspx?page=416,,,,Y,Y,,,Y,Y,"mulch, sand",N,Y,Y,Y,Y,Y,N,,
Hauke Park,Hamilton Dr. & Roque Moraes Dr.,Mill Valley,CA,94941,,,,,,Y,Y,,,Y,N,mulch,N,Y,Y,Y,N,Y,N,,
Rotary Park,"South Ashton, south of Millbrae Ave",Millbrae,CA,94030,650 259 2334,http://www.ci.millbrae.ca.us/index.aspx?page=276,"Rotary Park, situated on South Ashton just south of Millbrae Avenue is the perfect spot for children ages 2 to 5. Rotary Park offers smaller sized play equipment, a shaded picnic area, and a small grassy area. There is also a path for those who are looking to take a nice stroll or jog.",,,N,N,,N,Y,N,mulch,N,N,Y,Y,N,Y,Y,,Y
Strickroth Park,Merz Ct.,Milpitas,CA,95035,,,,,,Y,N,,Y,Y,N,sand,N,Y,Y,Y,Y,Y,Y,,
Beyer Park,3700 Beyer Park Dr,Modesto,CA,95355,,,,,,Y,Y,,Y,Y,N,"dirt, sand",N,Y,Y,Y,N,Y,,,
Graceada Park,401 Needham St,Modesto,CA,95354,,,,,,N,Y,,Y,Y,N,mulch,Y,Y,Y,Y,Y,Y,,,
King-Kennedy Memorial Center,601 North Martin Luther King Dr.,Modesto,CA,95355,,,,,,N,Y,,Y,Y,N,sand,Y,Y,Y,Y,N,Y,,,
Cypress Park,Hoffman Ave. & Cypress St.,Monterey,CA,93940,,,,,,N,N,,,Y,N,sand,N,N,N,Y,N,Y,N,,
Dennis the Menace Park,777 Pearl St,Monterey,CA,93940,,,,,,Y,Y,,Y,Y,N,sand,N,Y,Y,Y,Y,Y,N,Y,
Hilltop Park,Withers Ave & Jessie St.,Monterey,CA,93940,,,,,,N,N,,,Y,N,sand,N,Y,Y,Y,N,Y,N,,
Hoffman Park,McClellan Ave & Archer St.,Monterey,CA,93940,,,,,,N,N,,Y,Y,N,sand,N,Y,N,Y,Y,Y,Y,,
Oak Newton Park,Newton St. & McClellan Ave.,Monterey,CA,93940,,,,,,N,Y,,Y,Y,N,sand,N,Y,N,Y,Y,Y,Y,,
Via Paraiso Park,Via Paraiso & Herrmann Dr.,Monterey,CA,93940,,,,,,Y,Y,,Y,Y,N,sand,N,Y,Y,Y,Y,Y,,,
Rancho Laguna Park,Camino Pablo & Knoll Dr.,Moraga,CA,94556,,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,N,,,,
Moraga Commons Park,,Moraga,CA,,,,,,,Y,Y,,Y,Y,N,mulch,N,Y,Y,Y,N,Y,,,
Morgan Hill Community Park,Bryce Dr. & Olympic Dr.,Morgan Hill,CA,95037,,,,,,Y,Y,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,,,
Diana Park,Diana Ave. & St. Joseph Dr.,Morgan Hill,CA,95037,,,,,,N,N,,Y,Y,N,mulch,N,Y,Y,Y,N,,,,
Anchor Memorial Park,,Morro Bay,CA,93442,,,,,,Y,Y,,Y,Y,N,sand,N,Y,Y,Y,N,,,,
Duke Watkins Park,Filip Mendez Pkwy,Needles,CA,92363,,,,,,Y,Y,,N,Y,N,sand,N,Y,Y,Y,Y,Y,,,
Birch Grove,Birch St & Campanula Ct.,Newark,CA,94560,,,,,,Y,Y,,Y,Y,N,mulch,Y,Y,Y,Y,N,Y,,,
Freedom Park,5899 Dudley Blvd,North Highlands,CA,95652,,,,,,Y,Y,,Y,Y,Y,rubber,Y,N,Y,Y,Y,Y,Y,,
Dorada Park,590 N Yosemite Ave,Oakdale,CA,95361,(209) 847-2244,,,,,N,Y,,,Y,N,mulch,N,N,Y,Y,Y,Y,,,
Florabelle Brennan Park,E H St. & Pedersen Rd.,Oakdale,CA,95361,,,,,,N,N,,Y,Y,N,mulch,N,N,N,N,Y,N,,,
Orinda Community Park,28 Orinda Way,Orinda,CA,94563,(925) 254-2445,http://www.cityoforinda.org/index.asp?Type=B_BASIC&SEC={5D6E5CEE-EA19-402F-BD1F-2DF5F7DCC387},"The Community Park is located next to the Orinda Community Center at 28 Orinda Way. The Park includes a large open grass area, two playground areas (one featuring a water play area), picnic and barbecue areas along with three tennis courts with lights. The gazebo, meadow, and tennis courts are available for reservation. The picnic area adjacent to the large tot lot is available on a first-come, first-serve basis.",,,Y,Y,,,Y,N,sand,Y,Y,Y,Y,Y,Y,,,
Dover Park,5707 Dover St,Oakland,CA,94609,(510) 238-7275,,,,,N,N,,,Y,N,rubber,N,N,Y,Y,N,Y,,,
Lakeside Park,Perkins St. & Bellevue Ave.,Oakland,CA,94610,(510) 230-0339,,,,,Y,N,,Y,Y,N,"dirt, sand",N,Y,Y,Y,Y,Y,N,,
Montclair Park,6300 Moraga Ave,Oakland,CA,94611,(510) 482-7812,,,,,N,Y,,Y,Y,Y,"sand, rubber",N,Y,Y,Y,Y,,,,
Little Frog Park,Redondo Ave & Clarke St.,Oakland,CA,94609,,,,,,N,N,,N,Y,N,sand,N,N,Y,Y,N,N,N,,
Edgemar Park,Channing Way & Fremont Ave.,Pacifica,CA,94044,,,,,,N,N,,,Y,N,sand,N,Y,Y,Y,N,Y,Y,,
Pacifica Park,670 Hickey Blvd,Pacifica,CA,94044,,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,N,N,N,,
Ramos Park,800 E Meadow Dr,Palo Alto,CA,94301,,,,,,N,N,,,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
Rinconada Park,777 Embarcadero Road,Palo Alto,CA,94303,650 463 4900,,,,,Y,Y,,Y,Y,Y,"mulch, sand",N,Y,Y,Y,Y,Y,Y,,Y
Robles Park,4116 Park Blvd,Palo Alto,CA,94306,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,,Y
Piedmont Park,10th St NE & Charles Allen Dr.,Piedmont,CA,94611,,,,,,Y,,,Y,Y,N,sand,N,Y,Y,Y,N,,,,
Piedmont Sports Field,,Piedmont,CA,94611,,,,,,N,Y,,,Y,N,sand,N,Y,Y,Y,N,N,N,,
